text,category
There is a problem with Item is not included in package,Product
Package was sent to wrong address please fix this,Delivery
Item is not included in package please fix this,Product
Need help with I was debited twice,Billing
Delivery is late,Delivery
My bill amount is mismatched,Billing
Please resolve: Product quality is bad,Product
There is a problem with The product is defective,Product
System issue while logging in,Technical
Why is this happening: Package was sent to wrong address,Delivery
Unable to access dashboard,Technical
I was billed twice,Billing
App crashes during payment,Technical
Payment failed but money deducted,Billing
There is a problem with Payment failed but money deducted,Billing
App crashes during payment,Technical
App crashes during payment,Technical
Facing issue because Payment failed but money deducted,Billing
App crashes during payment,Technical
Call center not answering please fix this,Service
My order has not arrived please fix this,Delivery
I was deducted twice please fix this,Billing
I was billed twice,Billing
The product is broken,Product
App crashes during payment,Technical
Item is lost in package,Product
I am facing an issue: Order tracking not working,Delivery
Product quality is bad,Product
Item is not included in package,Product
Why is this happening: Order tracking not working,Delivery
Payment failed but money deducted,Billing
Package was sent to wrong address,Delivery
App crashes during payment,Technical
Item is lost in package,Product
Order tracking not working,Delivery
Why is this happening: Item is lost in package,Product
There is extra charge on my invoice,Billing
Product quality is bad please fix this,Product
Item is lost in package,Product
Please resolve: Item is not included in package,Product
My order has not arrived please fix this,Delivery
Please resolve: My order has not arrived,Delivery
Refund not processed,Billing
Customer service is unprofessional please fix this,Service
Facing issue because App crashes during payment,Technical
My bill amount is wrong,Billing
I was billed twice,Billing
The product is broken,Product
There is extra charge on my invoice,Billing
Item is lost in package,Product
Item is not included in package,Product
Item is lost in package,Product
Need help with Order tracking not working,Delivery
My bill amount is wrong,Billing
Unable to access dashboard,Technical
App crashes during payment,Technical
Please resolve: Customer service is impolite,Service
Need help with Order tracking not working,Delivery
Support team is not responding,Service
Please resolve: Product quality is bad,Product
Support team is not responding,Service
I am facing an issue: There is extra charge on my invoice,Billing
Payment failed but money deducted,Billing
Need help with Refund not processed,Billing
Package was sent to wrong address,Delivery
Product quality is bad,Product
Please resolve: Support team is not responding,Service
I am facing an issue: Package was sent to wrong address,Delivery
Customer service is unprofessional,Service
Received wrong product,Product
Need help with System issue while logging in,Technical
System issue while logging in,Technical
I am facing an issue: Delivery is slow,Delivery
System issue while logging in please fix this,Technical
Facing issue because Support team is not responding,Service
Facing issue because There is extra charge on my invoice,Billing
Support team is not responding please fix this,Service
Order tracking not working,Delivery
App crashes during payment,Technical
Call center not answering,Service
Need help with System issue while logging in,Technical
Facing issue because Item is lost in package,Product
I was debited twice,Billing
Refund not processed,Billing
Facing issue because Customer service is unprofessional,Service
